id,nombre,edad,departamento,salario
1,Samantha Rodriguez,57,Ventas,2667.33
2,Kathy Barton,46,Ventas,3512.79
3,Briana Anderson,22,TI,4015.9
4,Lisa Ibarra,27,Finanzas,2320.56
5,Michael Gomez,42,TI,4081.39
6,Ronald Phillips,40,TI,3883.91
7,Emily Robles,57,Finanzas,1679.06
8,Tracey Rivera,42,TI,2474.07
9,Julia Brown,50,Finanzas,3443.8
10,Christopher Nguyen,43,RRHH,1663.82
11,Robert Padilla,45,Finanzas,4125.89
12,Monica Marshall,20,Finanzas,3412.44
13,Christopher Smith,27,Ventas,4935.18
14,Mitchell Johnson,38,Finanzas,2125.1
15,Richard Davis,48,RRHH,3343.21
16,Jacob Riley,22,Ventas,4193.34
17,Robert Joseph,22,Finanzas,3058.52
18,Rebecca Harper MD,21,Finanzas,3995.35
19,Colleen Harris MD,26,RRHH,3611.28
20,Aaron Jones,22,Finanzas,2829.0
21,Michael David,59,Ventas,2463.22
22,Rachel Cochran,45,TI,4110.71
23,Daniel Smith,24,Ventas,2304.88
24,Lori Barrera,20,Ventas,1909.11
25,Jeffery Hancock,21,TI,2973.04
26,David Hamilton,58,Finanzas,3530.64
27,Ruth Andrews,22,TI,2566.03
28,David Hall,40,Finanzas,3714.53
29,Nicole Obrien,31,TI,4783.38
30,Gary Kennedy,40,TI,3479.17
31,Maria Martin,21,RRHH,3335.04
32,Jennifer Davis,50,Finanzas,4465.53
33,Mario Walker,52,RRHH,1729.53
34,Sarah Thomas,36,TI,4949.2
35,Mark Smith,52,Ventas,4363.7
36,Curtis Ramos,29,Finanzas,3227.21
37,Dale Lewis,45,Ventas,4606.02
38,Richard Jensen,35,Ventas,3076.81
39,Sherri Bowen,60,TI,4657.13
40,Shannon Yu,55,Ventas,4653.56
41,Dalton Buchanan,42,Finanzas,3671.54
42,Kelly Carrillo,28,TI,4164.41
43,Michelle Stewart,48,Finanzas,3240.97
44,John Fields,55,TI,4024.66
45,Anthony Braun,47,Finanzas,4818.14
46,Samuel Patrick,43,Ventas,2489.49
47,Jessica Mcguire,40,Finanzas,2687.46
48,Shannon Contreras,34,TI,4277.61
49,Raymond Sims,30,RRHH,4550.55
50,Jennifer Wilson,45,Ventas,4157.2
51,Amanda Fischer,48,Finanzas,3386.55
52,Mrs. Nicole Bailey MD,50,Ventas,4176.39
53,Jillian Smith,48,Ventas,1933.42
54,Barbara Little,21,RRHH,1673.5
55,Daniel Hill,43,RRHH,2510.12
56,Christy Adams,50,RRHH,4147.09
57,Jeremy Henry,41,RRHH,3226.07
58,Amber White,21,Ventas,1976.16
59,Debbie Fisher,21,Finanzas,1647.52
60,Robert Spencer,48,Ventas,3293.62
61,Christopher Roman,36,TI,3665.56
62,Sally Warren,42,Finanzas,2472.85
63,Mark Wilson,43,Finanzas,4224.34
64,Hannah Kelly,53,Finanzas,1822.28
65,Justin Smith,28,Ventas,3995.95
66,David Copeland,44,Ventas,4726.89
67,Amanda Moore,32,TI,3707.03
68,Kelly Phelps,28,Ventas,1925.15
69,Sean Todd,53,Ventas,1888.51
70,Sarah Mathis,25,Finanzas,2522.8
71,Kelly Ford,57,RRHH,2895.97
72,Kyle Moss,51,TI,1901.19
73,Jeffrey Brown,42,Ventas,4314.13
74,Joseph Newman,28,Finanzas,3681.07
75,Melvin Jones,57,TI,1878.56
76,Laura Cruz,27,Finanzas,1947.52
77,Ana Dixon,55,Finanzas,1820.64
78,Connor Reed,48,TI,2346.78
79,Samuel Gutierrez,30,RRHH,1745.33
80,Jason Roberts,35,Ventas,1902.72
81,Daniel Colon,54,Finanzas,3443.2
82,Spencer Collins,41,Finanzas,4807.4
83,Thomas Carter,55,Finanzas,2806.15
84,Cathy Smith,48,TI,2257.81
85,Mary Pratt,39,Ventas,3077.18
86,Mark Jones,45,Ventas,1641.13
87,Shelley Rangel,60,Ventas,3783.25
88,Shane Zimmerman,23,Finanzas,2077.28
89,Zachary Cervantes,60,Finanzas,3017.52
90,Thomas Parker,60,Ventas,4329.46
91,Herbert Valencia,22,RRHH,2438.02
92,Tamara Wilson,42,RRHH,3606.41
93,Holly Tran,25,Ventas,1784.26
94,Robert Love,41,RRHH,2930.67
95,Tiffany Jones,28,RRHH,1762.98
96,Larry Avila,25,Finanzas,1571.24
97,Charles Liu,48,TI,4280.08
98,Nancy Simpson,53,Ventas,3221.72
99,Austin Moore,54,RRHH,2016.85
100,Christopher Bryan,41,Ventas,2144.4
101,Erin Campbell,53,Ventas,1898.57
102,Margaret Flowers,38,RRHH,2675.0
103,Justin Hanna,29,Ventas,2904.39
104,Craig Villa,58,RRHH,4649.6
105,Anna Stone,58,Ventas,2357.96
106,Patrick Turner,48,TI,4334.56
107,Marcus Fischer,28,TI,4109.35
108,Stephen Keith,37,TI,3460.28
109,Bridget Stokes,41,TI,3930.25
110,Matthew Williams,55,Finanzas,4996.78
111,Michelle Johnson,36,Finanzas,3687.45
112,Andrea West,34,TI,4420.14
113,William Gonzalez,32,TI,3427.58
114,Loretta Johnston,60,RRHH,4276.16
115,Bradley Todd,56,Ventas,2393.36
116,Jack Jenkins,26,RRHH,4931.4
117,Veronica Spears,54,Ventas,2238.06
118,Joshua Carroll,22,Finanzas,3365.43
119,Crystal Campbell,54,Ventas,4955.29
120,Jacob Carter,35,Ventas,2316.72
121,Brianna Shaw,36,TI,2331.3
122,Andrew Robinson,36,Ventas,2249.19
123,Brenda Kirk,52,RRHH,2666.07
124,Bruce Whitaker,47,RRHH,4872.81
125,Matthew Tran,34,Ventas,1759.85
126,Aaron Clark,54,Ventas,1589.03
127,Noah Hernandez,36,Ventas,3310.9
128,Robert Hunter,22,Ventas,3209.83
129,Brian Scott,35,Ventas,4432.52
130,Maria Mclean,57,TI,3850.77
131,Jessica Nguyen,34,RRHH,3912.32
132,Kimberly Jackson,40,TI,3099.25
133,Scott Rivera,27,Finanzas,4863.58
134,William Mora,41,RRHH,2476.18
135,Zachary Cooper,40,TI,4953.63
136,William Anderson,47,RRHH,2275.4
137,Katherine Burnett,21,TI,2249.13
138,Louis Roy,31,Ventas,1704.38
139,Charles Smith,46,RRHH,4439.74
140,Donald Liu,43,Finanzas,1729.54
141,Laura Morgan,51,Finanzas,2052.61
142,Monique Wells,49,Ventas,2173.4
143,Gerald Galloway,60,RRHH,1886.41
144,Rhonda Burnett,59,RRHH,1712.04
145,Brittany Lee,26,Ventas,3736.3
